istaigos_kodas;gydytojo_ID;data_nuo;data_iki;iraso_sukurimo_data
124243990;15;2020-04-14;2020-04-17;2020-03-24 02:55
124243990;18;2020-03-16;2020-03-26;2020-03-24 02:55
124243990;18;2020-03-27;2020-03-27;2020-03-24 02:55
124243990;18;2020-03-30;2020-03-30;2020-03-24 02:55
124243990;18;2020-04-10;2020-04-10;2020-03-24 02:55
124243990;28;2020-03-20;2020-03-27;2020-03-24 02:55
124243990;29;2020-03-25;2020-03-25;2020-03-24 02:55
124243990;49;2020-03-24;2020-03-24;2020-03-24 02:55
124243990;49;2020-03-25;2020-03-25;2020-03-24 02:55
124243990;49;2020-03-26;2020-03-26;2020-03-24 02:55
124243990;49;2020-03-27;2020-03-27;2020-03-24 02:55
124243990;52;2020-03-16;2020-03-30;2020-03-24 02:55
124243990;190;2020-03-24;2020-03-27;2020-03-24 02:55
124243990;254;2020-04-15;2020-04-15;2020-03-24 02:55
